"X","full_name","resale_price","registered_year","engine_capacity","insurance","transmission_type","kms_driven","owner_type","fuel_type","max_power","seats","mileage","body_type","city"
15032,"2019 Honda Amaze VX Diesel BSIV","₹ 6.50 Lakh","2019","1498 cc","Third Party insurance","Manual","70,000 Kms","First Owner","Diesel","98.63bhp",5,"27.4 kmpl","Sedan","Delhi"
15035,"2019 Maruti Ciaz Alpha BSIV","₹ 8.50 Lakh","2019","1462 cc","Third Party insurance","Manual","80,000 Kms","First Owner","Petrol","103.25bhp",5,"21.56 kmpl","Sedan","Delhi"
15038,"2019 Toyota Innova Crysta 2.4 G Plus MT BSIV","₹ 17 Lakh","2019","2393 cc","Third Party insurance","Manual","50,000 Kms","First Owner","Diesel","147.8bhp",7,"13.68 kmpl","MUV","Delhi"
15051,"2019 Volvo XC60 Inscription D5 BSIV","₹ 40 Lakh","2019","1969 cc","Third Party insurance","Automatic","50,000 Kms","First Owner","Diesel","235bhp",5,"11.2 kmpl","SUV","Delhi"
15052,"2018 Hyundai Tucson 2.0 e-VGT 4WD AT GLS","₹ 12.50 Lakh","2018","1995 cc","Third Party insurance","Automatic","80,000 Kms","Second Owner","Diesel","182.46bhp",5,"16.38 kmpl","SUV","Delhi"
15064,"2020 Tata Altroz XZ BSVI","₹ 6.50 Lakh","2020","1199 cc","Third Party insurance","Manual","60,000 Kms","First Owner","Petrol","86.83bhp",5,"19.33 kmpl","Hatchback","Delhi"
15075,"2019 Isuzu D-Max High","₹ 20.01 Lakh","2019","2499 cc","Third Party insurance","Manual","40,000 Kms","First Owner","Diesel","134bhp",5,"12.4 kmpl","Isuzu","Delhi"
15082,"2020 Mahindra Scorpio S11","₹ 15.20 Lakh","2020","2179 cc","Third Party insurance","Manual","30,000 Kms","First Owner","Diesel","136.78bhp",7,"15.4 kmpl","SUV","Delhi"
15083,"2018 Hyundai Grand i10 1.2 CRDi Asta","₹ 5.50 Lakh","2018","1186 cc","Third Party insurance","Manual","40,000 Kms","First Owner","Diesel","73.97bhp",5,"24 kmpl","Hatchback","Delhi"
15085,"2019 Honda City i-VTEC VX","₹ 10 Lakh","2019","1497 cc","Third Party insurance","Manual","30,000 Kms","First Owner","Petrol","117.6bhp",5,"17.4 kmpl","Sedan","Delhi"
15089,"2018 Maruti Baleno 1.2 Alpha","₹ 5 Lakh","2018","1197 cc","Third Party insurance","Manual","60,000 Kms","First Owner","Petrol","83.1bhp",5,"21.4 kmpl","Hatchback","Delhi"
15093,"2019 Ford Figo 1.2P Titanium MT","₹ 4.80 Lakh","2019","1196 cc","Third Party insurance","Manual","40,000 Kms","First Owner","Petrol","86.8bhp",5,"18.16 kmpl","Hatchback","Delhi"
15102,"2019 Maruti Vitara Brezza VDi","₹ 8 Lakh","2019","1248 cc","Third Party insurance","Manual","70,000 Kms","First Owner","Diesel","88.5bhp",5,"24.3 kmpl","SUV","Delhi"
15107,"2018 Toyota Innova Crysta 2.8 ZX AT BSIV","₹ 17 Lakh","2018","2755 cc","Third Party insurance","Automatic","1,00,000 Kms","First Owner","Diesel","171.5bhp",7,"11.36 kmpl","MUV","Delhi"
15108,"2018 Toyota Innova Crysta 2.8 GX AT BSIV","₹ 14.75 Lakh","2018","2755 cc","Third Party insurance","Automatic","70,000 Kms","First Owner","Diesel","171.5bhp",7,"11.36 kmpl","MUV","Delhi"
15112,"2020 Skoda Rapid 1.0 TSI Style","₹ 11 Lakh","2020","999 cc","Third Party insurance","Manual","40,000 Kms","First Owner","Petrol","108.62bhp",5,"18.97 kmpl","Sedan","Delhi"
